,0,1,2,3,4,5,6,7,8,9,10,11,stock
0,1645401600000,0.931,0.937,0.924,0.935,2280697.9,1645402499999,2120902.6551,3124,1090617.7,1014442.8203,0,ADA
1,1645402500000,0.934,0.937,0.928,0.93,1235941.2,1645403399999,1151346.804,1274,560449.2,522075.0965,0,ADA
2,1645403400000,0.929,0.936,0.928,0.936,783037.5,1645404299999,729915.6051,1084,504437.8,470301.5272,0,ADA
3,1645404300000,0.935,0.946,0.932,0.946,2727869.6,1645405199999,2560767.6282,3102,1740291.1,1633632.4262,0,ADA
4,1645405200000,0.945,0.962,0.941,0.962,4255687.7,1645406099999,4055044.1524,6082,2362461.6,2252090.6333,0,ADA
5,1645406100000,0.962,0.962,0.954,0.96,2481249.9,1645406999999,2378118.121,2675,979047.8,938670.8824,0,ADA
6,1645407000000,0.96,0.974,0.959,0.969,3230252.6,1645407899999,3124859.416,5714,1750217.7,1692876.7301,0,ADA
7,1645407900000,0.969,0.971,0.963,0.964,2963178.9,1645408799999,2869172.8718,2491,1677381.2,1624883.0518,0,ADA
8,1645408800000,0.964,0.969,0.964,0.965,1190980.8,1645409699999,1150148.605,1523,517303.9,499752.9575,0,ADA
9,1645409700000,0.966,0.967,0.962,0.963,518650.8,1645410599999,500173.6138,919,251620.9,242798.5754,0,ADA
10,1645410600000,0.964,0.966,0.963,0.966,608230.7,1645411499999,586602.9962,861,294117.3,283781.1933,0,ADA
11,1645411500000,0.966,0.969,0.965,0.966,826832.9,1645412399999,799414.211,1172,397787.8,384591.7858,0,ADA
12,1645412400000,0.966,0.97,0.965,0.969,825269.1,1645413299999,798034.3688,1087,516246.6,499288.0123,0,ADA
13,1645413300000,0.969,0.971,0.966,0.967,945466.2,1645414199999,915432.8078,1053,428023.9,414642.2633,0,ADA
14,1645414200000,0.967,0.967,0.958,0.961,1420586.5,1645415099999,1365614.799,1960,532317.2,511891.504,0,ADA
15,1645415100000,0.96,0.961,0.955,0.957,1086998.5,1645415999999,1040562.1967,1610,475833.3,455630.3182,0,ADA
16,1645416000000,0.957,0.961,0.956,0.961,511973.2,1645416899999,491198.3814,877,305853.6,293438.189,0,ADA
17,1645416900000,0.961,0.964,0.961,0.962,366672.0,1645417799999,352981.8823,578,257962.9,248327.0396,0,ADA
18,1645417800000,0.963,0.967,0.962,0.964,902434.5,1645418699999,870986.3337,1097,554803.9,535573.8109,0,ADA
19,1645418700000,0.964,0.993,0.963,0.982,14117399.6,1645419599999,13854778.1491,16607,9945123.9,9755099.1082,0,ADA
20,1645419600000,0.981,0.982,0.973,0.975,1475115.2,1645420499999,1441231.9597,2679,655203.8,640419.2993,0,ADA
21,1645420500000,0.974,0.979,0.972,0.979,2343696.9,1645421399999,2284179.0548,2755,1471157.3,1434558.6709,0,ADA
22,1645421400000,0.978,0.979,0.973,0.974,1297688.0,1645422299999,1265975.3623,1424,762973.6,744168.3003,0,ADA
23,1645422300000,0.975,0.975,0.971,0.972,1036440.3,1645423199999,1008302.9629,1361,489333.3,476173.1821,0,ADA
24,1645423200000,0.972,0.975,0.969,0.973,1445219.4,1645424099999,1404496.4761,2641,941291.8,914570.6597,0,ADA
25,1645424100000,0.972,0.975,0.97,0.974,923758.5,1645424999999,898422.2532,2143,588034.8,571945.4342,0,ADA
26,1645425000000,0.973,0.975,0.971,0.973,720500.2,1645425899999,701259.4797,2217,349967.2,340726.3405,0,ADA
27,1645425900000,0.973,0.975,0.973,0.974,825413.8,1645426799999,803748.1605,1918,392905.8,382700.7159,0,ADA
28,1645426800000,0.973,0.976,0.97,0.974,1129373.4,1645427699999,1097890.7262,1433,597870.2,581291.7092,0,ADA
29,1645427700000,0.974,0.977,0.971,0.975,2015960.7,1645428599999,1965151.2666,1663,958335.1,934326.3269,0,ADA
30,1645428600000,0.975,0.975,0.971,0.974,907699.2,1645429499999,883561.4061,1255,480002.5,467305.0552,0,ADA
31,1645429500000,0.975,0.979,0.974,0.979,1036880.7,1645430399999,1011689.3244,1400,672235.8,656123.2911,0,ADA
32,1645430400000,0.979,0.98,0.976,0.979,1275757.3,1645431299999,1248045.1516,1780,768662.8,752132.8622,0,ADA
33,1645431300000,0.98,0.982,0.974,0.975,996232.2,1645432199999,974406.096,1558,531915.3,520504.504,0,ADA
34,1645432200000,0.975,0.978,0.97,0.971,1452905.9,1645433099999,1414029.1681,1903,663880.9,646224.7128,0,ADA
35,1645433100000,0.971,0.974,0.967,0.968,1035715.8,1645433999999,1005573.575,1675,320494.2,311343.16,0,ADA
36,1645434000000,0.969,0.971,0.965,0.969,1419398.0,1645434899999,1373915.4285,2046,709611.4,687271.9743,0,ADA
37,1645434900000,0.968,0.972,0.967,0.97,924296.3,1645435799999,895933.9783,1202,354777.4,344024.6978,0,ADA
38,1645435800000,0.97,0.971,0.967,0.969,882534.9,1645436699999,855218.7124,1017,413617.3,400878.8007,0,ADA
39,1645436700000,0.969,0.969,0.96,0.962,837209.5,1645437599999,807743.4514,2123,378543.5,365579.477,0,ADA
40,1645437600000,0.962,0.966,0.96,0.962,1162360.2,1645438499999,1119956.048,1723,570965.3,550297.2604,0,ADA
41,1645438500000,0.962,0.963,0.952,0.955,3066956.6,1645439399999,2939470.7528,4050,1666059.0,1597886.9881,0,ADA
42,1645439400000,0.954,0.956,0.943,0.946,3397414.8,1645440299999,3222680.9127,5166,1344730.0,1276001.6145,0,ADA
43,1645440300000,0.946,0.95,0.944,0.947,1665182.5,1645441199999,1577552.7287,2053,884886.8,838699.4085,0,ADA
44,1645441200000,0.947,0.952,0.944,0.945,1364748.5,1645442099999,1293887.3087,1646,583807.8,553619.9946,0,ADA
45,1645442100000,0.946,0.947,0.939,0.939,1710274.4,1645442999999,1613513.9821,2333,664790.9,627581.0025,0,ADA
46,1645443000000,0.94,0.942,0.921,0.922,6394374.4,1645443899999,5950728.8611,8493,2711558.7,2524651.2896,0,ADA
47,1645443900000,0.922,0.93,0.917,0.928,6877869.7,1645444799999,6350963.7921,8104,3252636.4,3006114.4347,0,ADA
48,1645444800000,0.928,0.934,0.922,0.925,3380778.1,1645445699999,3137771.1184,4867,1584188.6,1470974.8193,0,ADA
49,1645445700000,0.924,0.931,0.914,0.926,4681167.5,1645446599999,4315970.848,7229,2427840.5,2240566.1856,0,ADA
50,1645446600000,0.926,0.931,0.923,0.926,2388961.4,1645447499999,2214188.2902,3553,1246316.6,1155678.2738,0,ADA
51,1645447500000,0.925,0.927,0.917,0.921,2648311.0,1645448399999,2439024.7999,3699,1352512.7,1245878.786,0,ADA
52,1645448400000,0.921,0.923,0.896,0.917,12314962.85,1645449299999,11158890.263185,17662,4983468.6,4515089.4773,0,ADA
53,1645449300000,0.917,0.919,0.905,0.908,3894366.6,1645450199999,3544126.9468,4727,1844824.3,1679094.0089,0,ADA
54,1645450200000,0.908,0.913,0.904,0.91,3163389.6,1645451099999,2877485.7652,3486,1871276.7,1702546.1792,0,ADA
55,1645451100000,0.909,0.915,0.906,0.914,3251440.5,1645451999999,2960965.93,3273,1618932.6,1474445.3772,0,ADA
56,1645452000000,0.913,0.922,0.909,0.92,3356134.8,1645452899999,3076429.4826,4642,1766283.1,1619132.2347,0,ADA
57,1645452900000,0.919,0.958,0.918,0.946,16059195.7,1645453799999,15183104.9883,18331,8474465.8,8008439.1637,0,ADA
58,1645453800000,0.946,0.948,0.937,0.941,4364767.3,1645454699999,4114886.6669,5049,2116880.1,1995495.5096,0,ADA
59,1645454700000,0.941,0.949,0.941,0.945,2368612.0,1645455599999,2239217.1489,2837,1225915.2,1159055.3911,0,ADA
60,1645455600000,0.945,0.96,0.939,0.957,4987078.5,1645456499999,4748354.5604,6519,2860080.8,2724763.1384,0,ADA
61,1645456500000,0.957,0.963,0.943,0.945,4605297.1,1645457399999,4389687.4366,5915,2044664.3,1950208.3634,0,ADA
62,1645457400000,0.945,0.958,0.944,0.953,2605247.3,1645458299999,2478396.6752,3249,1445340.1,1375206.428,0,ADA
63,1645458300000,0.953,0.955,0.946,0.947,1402727.8,1645459199999,1330792.0037,1995,643066.8,610106.4851,0,ADA
64,1645459200000,0.947,0.953,0.946,0.95,1514509.7,1645460099999,1438623.351,1952,734128.7,697309.6503,0,ADA
65,1645460100000,0.949,0.954,0.943,0.944,1759746.7,1645460999999,1669874.739,2168,904305.7,858770.1771,0,ADA
66,1645461000000,0.944,0.95,0.943,0.949,1279437.7,1645461899999,1210941.6566,1574,572572.9,542029.9729,0,ADA
67,1645461900000,0.949,0.949,0.94,0.942,1198621.7,1645462799999,1131052.8849,1953,432633.6,408507.5259,0,ADA
68,1645462800000,0.942,0.951,0.941,0.949,1553205.3,1645463699999,1468841.0225,2064,909846.8,860951.0778,0,ADA
69,1645463700000,0.949,0.952,0.945,0.951,1174279.0,1645464599999,1114335.0148,1801,524587.9,497896.2445,0,ADA
70,1645464600000,0.95,0.951,0.94,0.94,1439525.6,1645465499999,1360260.7769,1754,541029.2,511101.7994,0,ADA
71,1645465500000,0.94,0.941,0.931,0.932,1935100.5,1645466399999,1810190.0475,3197,705813.7,660359.4899,0,ADA
72,1645466400000,0.933,0.936,0.917,0.918,3865630.7,1645467299999,3571974.943,6209,1514655.3,1399565.9512,0,ADA
73,1645467300000,0.918,0.921,0.911,0.914,2501886.0,1645468199999,2291015.6727,4075,1305082.0,1195435.2356,0,ADA
74,1645468200000,0.915,0.918,0.91,0.915,2290629.5,1645469099999,2093496.0892,2800,1012858.6,926033.6358,0,ADA
